Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
Collateral impact,0.002028313300000001,kg CO2 eq,226,9,8,-,-,Collateral impact
Collateral impact,0.0116796617,kg CO2 eq,227,11,10,-,-,Collateral impact
Collateral impact,0.0105799699,kg CO2 eq,228,9,11,-,-,Collateral impact
Collateral impact,0.0080564084,kg CO2 eq,229,11,14,-,-,Collateral impact
Collateral impact,0.0048712061999999995,kg CO2 eq,230,11,27,-,-,Collateral impact
Collateral impact,0.0044125603,kg CO2 eq,231,9,28,-,-,Collateral impact
Collateral impact,0.0033600653000000003,kg CO2 eq,232,11,31,-,-,Collateral impact
Collateral impact,0.0026080282,kg CO2 eq,233,11,40,-,-,Collateral impact
Collateral impact,0.0023624708,kg CO2 eq,234,9,41,-,-,Collateral impact
Collateral impact,0.0076976694,kg CO2 eq,235,11,59,-,-,Collateral impact
Collateral impact,0.0069728998,kg CO2 eq,236,9,60,-,-,Collateral impact
Collateral impact,0.0053097058,kg CO2 eq,237,11,63,-,-,Collateral impact
Collateral impact,0.006701528499999999,kg CO2 eq,238,8,72,-,-,Collateral impact
Collateral impact,0.0097824577,kg CO2 eq,239,11,88,-,-,Collateral impact
Collateral impact,0.008861396300000001,kg CO2 eq,240,9,89,-,-,Collateral impact
Collateral impact,0.0067477532,kg CO2 eq,241,11,92,-,-,Collateral impact
Collateral impact,0.0033612278000000003,kg CO2 eq,242,5,157,-,-,Collateral impact
Collateral impact,0.02595385480000001,kg CO2 eq,243,3,164,-,-,Collateral impact
Collateral impact,0.469098788,kg CO2 eq,244,5,166,-,-,Collateral impact
Collateral impact,0.0470280046,kg CO2 eq,245,5,168,-,-,Collateral impact
Collateral impact,0.0197727743,kg CO2 eq,246,5,169,-,-,Collateral impact
Collateral impact,0.0110168787,kg CO2 eq,247,5,171,-,-,Collateral impact
Collateral impact,0.0024027734000000005,kg CO2 eq,248,5,174,-,-,Collateral impact
Collateral impact,0.012246828100000107,kg CO2 eq,249,3,188,-,-,Collateral impact
Collateral impact,0.2213533301,kg CO2 eq,250,5,190,-,-,Collateral impact
Collateral impact,0.0221910729,kg CO2 eq,251,5,191,-,-,Collateral impact
Collateral impact,0.0093301657,kg CO2 eq,252,5,192,-,-,Collateral impact
Collateral impact,0.005198527200000001,kg CO2 eq,253,5,194,-,-,Collateral impact
Collateral impact,0.005055656400000002,kg CO2 eq,254,4,206,-,-,Collateral impact
Collateral impact,0.004106314599999997,kg CO2 eq,255,4,208,-,-,Collateral impact
Collateral impact,0.0040868602,kg CO2 eq,256,4,210,-,-,Collateral impact
Collateral impact,0.0034540806,kg CO2 eq,257,4,212,-,-,Collateral impact
Collateral impact,0.0046873597,kg CO2 eq,258,6,222,-,-,Collateral impact
