Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Average mineral fertilizer, as N, at regional storehouse/kg",0.00067,kg CO2 eq,97,10,96,raw materials/ingredients,France,Average mineral fertilizer
Feed barley grain stored and transported,0.00085,kg CO2 eq,98,8,84,raw materials/ingredients,France,Feed barley grain stored and transported
"Feed barley grain, conventional, national average",0.00082,kg CO2 eq,99,9,98,raw materials/ingredients,France,Feed barley grain
"Weaned piglet,French average,WP 1st phase feed,conv prod, at farm gate/kg",0.00337,kg CO2 eq,100,7,6,raw materials/ingredients,France,Weaned piglet
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00086,kg CO2 eq,101,8,100,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.0008,kg CO2 eq,102,9,101,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00076,kg CO2 eq,103,10,102,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00067,kg CO2 eq,104,11,103,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00062,kg CO2 eq,105,12,104,raw materials/ingredients,Brazil,Soybean
"Whey powder, animal feed, at retailer gate",0.00083,kg CO2 eq,106,8,100,raw materials/ingredients,France,Whey powder
"Sow,French average,gestating feed,conv prod, at farm gate/kg",0.0033,kg CO2 eq,107,7,6,raw materials/ingredients,France,Sow
"Sow,French average,gestating feed,purchased part,conv prod, at farm gate/kg",0.00251,kg CO2 eq,108,8,107,raw materials/ingredients,France,Sow
Feed barley grain stored and transported,0.0007,kg CO2 eq,109,9,108,raw materials/ingredients,France,Feed barley grain stored and transported
"Feed barley grain, conventional, national average",0.00068,kg CO2 eq,110,10,109,raw materials/ingredients,France,Feed barley grain
Soft wheat grain stored and transported,0.00067,kg CO2 eq,111,9,108,raw materials/ingredients,France,Soft wheat grain stored and transported
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00065,kg CO2 eq,112,10,111,raw materials/ingredients,France,Soft wheat grain
"Sow,French average,gestating feed,on-farm part,conv prod, at farm gate/kg",0.00079,kg CO2 eq,113,8,107,raw materials/ingredients,France,Sow
"heat production, light fuel oil, at boiler 100kW condensing, non-modulating",0.00183,kg CO2 eq,114,7,6,raw materials/ingredients,Switzerland,heat production
"Pig building without FDS, concrete wall and concrete slatted floor (fattening)/p",0.00151,kg CO2 eq,115,7,6,raw materials/ingredients,France,Pig building without FDS
"electricity, low voltage",0.00139,kg CO2 eq,116,7,6,raw materials/ingredients,France,electricity
"Sow,French average,lactating feed,conv prod, at farm gate/kg",0.00119,kg CO2 eq,117,7,6,raw materials/ingredients,France,Sow
"Sow,French average,lactating feed,purchased part,conv prod, at farm gate/kg",0.0009,kg CO2 eq,118,8,117,raw materials/ingredients,France,Sow
Slurry pit/m3y,0.00083,kg CO2 eq,119,7,6,raw materials/ingredients,France,Slurry pit/m3y
"electricity, medium voltage",0.00626,kg CO2 eq,120,5,4,raw materials/ingredients,France,electricity
"heat production, natural gas, at industrial furnace low-NOx >100kW",0.00279,kg CO2 eq,121,5,4,raw materials/ingredients,Europe without Switzerland,heat production
