Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Baled hay, permanent meadow, without clover, Auvergne, at farm",0.00148,kg CO2 eq,49,6,45,raw materials/ingredients,France,Baled hay
"Rapeseed oil, crude, conventional, animal feed, at plant",0.00082,kg CO2 eq,50,6,45,raw materials/ingredients,France,Rapeseed oil
"Rapeseed grain, conventional, dried, stored and transported, processing",0.00073,kg CO2 eq,51,7,50,raw materials/ingredients,France,Rapeseed grain
"Rapeseed, conventional, 9% moisture, national average, animal feed, at farm gate",0.00072,kg CO2 eq,52,8,51,raw materials/ingredients,France,Rapeseed
"Cow milk, conventional, lowland milk system, silage maize 5 to 10%, at farm gate",0.01978,kg CO2 eq,53,5,4,raw materials/ingredients,France,Cow milk
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00156,kg CO2 eq,54,6,53,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.00145,kg CO2 eq,55,7,54,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00137,kg CO2 eq,56,8,55,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00121,kg CO2 eq,57,9,56,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00112,kg CO2 eq,58,10,57,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.0009,kg CO2 eq,59,11,58,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00069,kg CO2 eq,60,12,59,raw materials/ingredients,Brazil,clear-cutting
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.00152,kg CO2 eq,61,6,53,raw materials/ingredients,France,Grazed grass
"Baled hay, permanent meadow, with clover, Northwestern region, at farm",0.00068,kg CO2 eq,62,6,53,raw materials/ingredients,France,Baled hay
"Cow milk, organic, lowland milk system, silage maize 5 to 10%, at farm gate",0.01943,kg CO2 eq,63,5,4,raw materials/ingredients,France,Cow milk
"Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region | Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region, at farm",0.00099,kg CO2 eq,64,6,63,raw materials/ingredients,France,Grass silage
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.00093,kg CO2 eq,65,6,63,raw materials/ingredients,France,Grazed grass
"heat production, heavy fuel oil, at industrial furnace 1MW",0.00501,kg CO2 eq,66,4,3,raw materials/ingredients,Switzerland,heat production
"heat production, natural gas, at industrial furnace low-NOx >100kW",0.00384,kg CO2 eq,67,4,3,raw materials/ingredients,Europe without Switzerland,heat production
"transport, freight, lorry with refrigeration machine, 7.5-16 ton, EUR",0.0036,kg CO2 eq,68,4,3,raw materials/ingredients,Global,transport
"nitric acid, without water, in 50% solution state",0.0018,kg CO2 eq,69,4,3,raw materials/ingredients,Global,nitric acid
"electricity, medium voltage",0.0013,kg CO2 eq,70,4,3,raw materials/ingredients,France,electricity
"sodium hydroxide, without water, in 50% solution state",0.00121,kg CO2 eq,71,4,3,raw materials/ingredients,Global,sodium hydroxide
"transport, freight, lorry 16-32 metric ton, EURO6",0.00186,kg CO2 eq,72,3,2,raw materials/ingredients,Europe,transport
"Cooked ham, case ready, at plant",0.23959,kg CO2 eq,73,1,0,raw materials/ingredients,France,Cooked ham
"Superior cooked ham packed; Fresh hams muscles, superior cooked hams packed, industrial production; French production, at plant; 1 kg superior cooked hams packed  (PDi)",0.23959,kg CO2 eq,74,2,73,raw materials/ingredients,France,Superior cooked ham packed; Fresh hams muscles
